Warning: truncated output (original token count: 119371)
Total output lines: 1001

rank,category,title,original_title,year,end_year,title_type,runtime_minutes,genres,imdb_id,imdb_rating,imdb_votes,popularity_score,confidence,ranking_basis,nl_signal,nl_alias,nl_alias_count,nl_boxoffice_rank,nl_boxoffice_visits_thousands,trakt_id,tmdb_id,trakt_rank,trakt_list_rank,trakt_watchers,trakt_plays,trakt_collected,language,country,studio_or_network,age_rating_raw,age_category,age_rating_source,metadata_confidence,inclusion_reason,metadata_source,source_trakt,source_imdb,source_nl
1,tv_program,Stranger Things,Stranger Things,2016,2025,tvSeries,60,"Drama,Fantasy,Horror",tt4574334,8.6,1724245,100.0,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Stranger Things,1,,,104439,66732,1,,,,,Engels,Verenigde Staten,Netflix,TV-14,12+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/stranger-things,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt4574334/,
2,tv_program,Game of Thrones,Game of Thrones,2011,2019,tvSeries,60,"Drama,Fantasy",tt0944947,9.2,2643572,99.998,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Game of Thrones,1,,,1390,1399,2,,,,,Engels,Verenigde Staten,HBO,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/game-of-thrones,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt0944947/,
3,tv_program,The Boys,The Boys,2019,2026,tvSeries,60,"Action,Comedy,Crime",tt1190634,8.5,1014228,99.996,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Boys,1,,,139960,76479,3,,,,,Engels,Verenigde Staten,Prime Video,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/the-boys-2019,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt1190634/,
4,tv_program,Breaking Bad,Breaking Bad,2008,2013,tvSeries,48,"Crime,Drama,Thriller",tt0903747,9.5,2652911,99.994,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Breaking Bad,1,,,1388,1396,4,,,,,"Engels, Duits, Spaans",Verenigde Staten,AMC,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/breaking-bad,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt0903747/,
5,tv_program,House of the Dragon,House of the Dragon,2022,,tvSeries,60,"Action,Adventure,Drama",tt11198330,8.3,554467,99.992,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,House of the Dragon,1,,,154574,94997,5,,,,,Engels,Verenigde Staten,HBO,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/house-of-the-dragon,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt11198330/,
6,tv_program,The Last of Us,The Last of Us,2023,,tvSeries,50,"Action,Adventure,Drama",tt3581920,8.4,745375,99.99,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Last of Us,1,,,158947,100088,6,,,,,Engels,Verenigde Staten,HBO,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/the-last-of-us,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt3581920/,
7,tv_program,Squid Game,Ojing-eo geim,2021,2025,tvSeries,60,"Action,Crime,Drama",tt10919420,7.9,770725,99.988,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Squid Game,1,,,162712,93405,7,,,,,"Engels, Koreaans, UR",Zuid-Korea,Netflix,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/squid-game,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt10919420/,
8,tv_program,Black Mirror,Black Mirror,2011,,tvSeries,60,"Crime,Drama,Mystery",tt2085059,8.7,744343,99.986,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Black Mirror,1,,,41793,42009,8,,,,,Engels,Verenigd Koninkrijk,Netflix,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/black-mirror,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt2085059/,
9,tv_program,Fallout,Fallout,2024,,tvSeries,60,"Action,Adventure,Drama",tt12637874,8.3,399351,99.984,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Fallout,1,,,163965,106379,9,,,,,Engels,Verenigde Staten,Prime Video,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/fallout,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt12637874/,
10,tv_program,Rick and Morty,Rick and Morty,2013,,tvSeries,23,"Adventure,Animation,Comedy",tt2861424,9.0,705679,99.982,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Rick and Morty,1,,,69829,60625,10,,,,,Engels,Verenigde Staten,Adult Swim,TV-MA,16+,Trakt certification,medium,Trakt all-time watched,https://trakt.tv/shows/rick-and-morty,https://trakt.tv/shows/watched/all,https://www.imdb.com/title/tt2861424/,
